site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
Andros,3294,2016,6.5,25,2,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,451,2016,6.7,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,451,2016,6.7,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,408,2016,6.82,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,3310,2016,6.9,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3310,2016,6.9,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,254,2016,7,25,1,Carcharhinidae,Unknown,sp.,Requiem Shark
Conception,254,2016,7,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,254,2016,7,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,253,2016,7.08,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,253,2016,7.08,25,1,Carcharhinidae,Unknown,sp.,Requiem Shark
San Salvador,5,2016,7.3,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,405,2016,7.53,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,423,2016,7.56,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,484,2016,7.6,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,419,2016,7.66,25,1,Urotrygonidae,Urobatis,jamaicensis,Yellow round ray
San Salvador,419,2016,7.66,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,248,2016,7.79,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,4,2016,7.9,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,3297,2016,7.9,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,528,2016,8,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,528,2016,8,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,491,2016,8,25,3,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,529,2016,8.2,25,1,Carcharhinidae,Unknown,sp.,Requiem Shark
Conception,256,2016,8.23,25,1,Urotrygonidae,Urobatis,jamaicensis,Yellow round ray
Conception,256,2016,8.23,25,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
Conception,227,2016,8.26,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,241,2016,8.49,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,410,2016,8.69,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Conception,250,2016,8.76,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,533,2016,8.9,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,533,2016,8.9,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Conception,260,2016,8.93,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,260,2016,8.93,25,4,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,259,2016,9.09,25,2,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
